,name,url
36,Lucile Packard Childrens Hospital ,https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/
37,Massachusetts General Hospital ,https://www.partners.org/for-patients/Patient-Billing-Financial-Assistance/Hospital-Charge-Listing.aspx
38,Medical City Dallas Hospital ,https://medicalcityhospital.com/patient-financial/?page_name=pricing
39,Medical University of South Carolina ,http://scpricepoint.org/ReportINP.aspx
40,Memorial Hermann Hospital System ,https://www.memorialhermann.org/patients-caregivers/pricing-estimates-and-information/
41,Memorial Hermann Texas Medical Center ,https://www.memorialhermann.org/patients-caregivers/pricing-estimates-and-information/
42,Memorial Hospital for Cancer and Allied Diseases ,https://www.mskcc.org/public-notices/chargemaster/download
43,Memorial Regional Hospital ,https://www.mhs.net/patients-visitors/billing/charges
44,Methodist Healthcare Hospital (Memphis) ,https://www.methodisthealth.org/patients-guests/billing-department.dot
45,Methodist Hospital (San Antonio) ,https://sahealth.com/about/legal/detail-price-list.dot
46,Milton S. Hershey Medical Center ,https://hmc.pennstatehealth.org/patients-families-and-visitors/billing-and-medical-records/request-a-price-estimate
47,Montefiore Medical Center ,https://www.montefiore.org/information-about-charges
48,Morristown Memorial Hospital ,https://www.atlantichealth.org/patients-visitors/insurance/out-network-insurance.html
49,Mount Sinai Health System – Beth Israel ,https://www.mountsinai.org/about/insurance/cm-faq-msl
50,Mount Sinai Hospital ,https://www.mountsinai.org/about/insurance/cm-faq-msh
51,New York Presbyterian Hospital ,https://www.nyp.org/patients-and-visitors/paying-for-care
52,New York University Hospitals Center ,https://med.nyu.edu/standard-charges/form/price-transparency-info-download/confirmation?token=B9bGu4DLNzR-ly23TGOd4NYWvFewtJ6m1K_jDE7nsD8
53,North Carolina Baptist Hospital ,https://www.wakehealth.edu/Patient-and-Family-Resources/Billing-and-Insurance/Your-Health-Care-Costs
54,North Shore University Hospital ,https://www.northwell.edu/billing-and-insurance/price-transparency
55,Northshore University Health System ,https://www.northshore.org/about-us/billing/standard-hospital-charges/
56,Northside Hospital ,https://www.northside.com/billing-collections
57,Northwestern Memorial Hospital ,https://www.nm.org/locations/northwestern-memorial-hospital
58,Norton Hospitals Inc. ,http://search.hospitalpriceindex.com/hospital/Norton-Healthcare/5192
59,Ochsner Clinic Foundation ,https://www.ochsner.org/patients-visitors/billing-and-financial-services/estimates
60,Ohio State University Hospital ,https://wexnermedical.osu.edu/patient-and-visitor-guide/patient-pricing-lists
61,Orlando Health ,https://www.orlandohealth.com/patients-and-visitors/patient-financial-resources/pricing-transparency-guide
62,Presbyterian Intercommunity Hospital ,https://www.pihhealth.org/patients-visitors/billing-financial-assistance/cms-hospital-pricing/
63,Rainbow Babies and Childrens Hospital ,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative
64,Riverside Methodist Hospital ,https://www.ohiohealth.com/patients-and-visitors/paying-for-your-care/cost-of-services/
65,Robert Wood Johnson University Hospital ,https://www.rwjbh.org/rwj-university-hospital-new-brunswick/billing/charges/
66,Ronald Reagan UCLA Medical Center ,https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/
67,Rush University Medical Center ,https://www.rush.edu/patients-visitors/patients/pay-your-bill/cost-care
68,Scott and White Memorial Hospital ,https://www.bswhealth.com/patient-tools/patient-registration-and-billing/estimate-your-cost-care/Pages/default.aspx
69,Sharp Memorial Hospital ,https://www.sharp.com/chargemaster/memorial/
70,Spectrum Health Hospitals ,https://www.spectrumhealth.org/about-us/average-prices-for-grand-rapids-area
71,St. Francis Medical Center ,https://www.sfmc.net/billing/price-transparency/
72,St. Joseph’s Hospital (Tampa) ,https://baycare.org/billing-and-insurance?h=%7BE8674E87-55E2-4279-8327-5C27406EE723%7D
73,St. Joseph’s Hospital and Medical Center ,https://www.dignityhealth.org/arizona/locations/stjosephs/patients-and-visitors/for-patients/billing-payment-information
74,St. Luke’s Hospital (Pennsylvania) ,https://www.slhn.org/billpay/patient-billing/standard-charges-for-services-provided
75,St. Luke’s Hospital (San Francisco) ,https://www.sutterhealth.org/for-patients/health-care-costs-and-charges
76,Stanford Hospitals and Clinics ,https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/
77,Sunrise Hospital and Medical Center ,https://sunrisehospital.com/about/legal/detail-price-list.dot
78,Swedish Medical Center ,https://swedishhospital.com/about/legal/detail-price-list.dot
79,Tampa General Hospital ,https://www.tgh.org/patients-visitors/financial-information/hospital-services-and-charges
80,Temple University Hospital ,https://tuh.templehealth.org/content/pricing-info.htm
81,The Childrens Hospital of Philadelphia ,https://www.chop.edu/centers-programs/billing-and-insurance/understanding-hospital-charges
82,The Methodist Hospital (Houston) ,https://www.houstonmethodist.org/for-patients/patient-resources/billing-insurance/charge-description-master/
83,Thomas Jefferson University Hospital ,https://hospitals.jefferson.edu/patients-and-visitors/charge-description-master.html
84,UC Davis Medical Center ,https://health.ucdavis.edu/newsroom/public-records/chargemaster.html
85,UC Irvine Medical Center ,http://www.ucihealth.org/patients-visitors/pricing-transparency
86,UC San Diego Medical Center ,https://health.ucsd.edu/patients/billing/standard-charges/Pages/default.aspx
87,UC San Francisco Medical Center ,https://www.ucsfhealth.org/about/pricing-transparency/
88,University Hospital (Lexington) ,https://ukhealthcare.uky.edu/uk-healthcare-rates
89,University Hospitals Case Medical Center ,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative
90,University of Wisconsin Madison Hospitals and Clinics ,https://www.uwhealth.org/billing-and-insurance/priceline-pricing-costs/30091
91,University of Alabama Hospital ,https://www.uabmedicine.org/billing-insurance-and-medical-records
92,University of Chicago Hospitals ,http://search.hospitalpriceindex.com/hospital/the-university-of-chicago-medical-center/5342
93,University of Colorado Hospital ,https://www.uchealth.org/billing-and-pricing-information/
94,University of Florida Health Shands ,https://ufhealth.org/pricing-transparency
95,University of Iowa Hospitals and Clinics ,https://uihc.org/hospital-services-and-charges
96,University of Kansas Hospitals ,https://www.kansashealthsystem.com/patient-visitor/insurance-billing-financial-support/services-fees/charge-descriptions
97,University of Massachusetts Memorial Medical Center ,https://www.umassmemorialhealthcare.org/healthalliance-clinton-hospital/patients-visitors/patient-resources/healthalliance-clinton-pricing-list
98,University of Michigan Hospitals and Health Centers ,https://www.uofmhealth.org/michigan-medicine-standard-charges
99,University of Minnesota Medical Center,https://www.fairview.org/billing/fairview-patient-billing
100,University of North Carolina Hospital ,https://www.unchealthcare.org/about-us/billing-and-financial-assistance/chargemaster/
101,University of Oklahoma Medical Center ,https://www.oumedicine.com/oumedicine/primary-care/patients-visitors/hospital-financial-assistance/hospital-charges
102,University of Pittsburgh Medical Center Presbyterian Shadyside ,https://www.upmc.com/locations/hospitals/mckeesport/patients-visitors/patient-information/cdm
103,University of Texas MD Anderson Cancer Center ,https://www.mdanderson.org/patients-family/becoming-our-patient/planning-for-care/insurance-billing-financial-support/health-care-disclosures.html
104,University of Virginia Medical Center ,https://uvahealth.com/services/billing-insurance/common-prices
105,Vanderbilt University Medical Center ,https://finance.vumc.org/chargemaster/
106,VCU Health System MCV Hospital ,https://www.vcuhealth.org/locations/vcu-medical-center/billing-and-insurance/price-transparency
107,West Jersey Health System ,https://www.virtua.org/patient-tools/hospital-charges-information
108,Westchester Medical Center ,https://www.westchestermedicalcenter.com/billing-insurance-and-financial-assistance
109,William Beaumont Hospital – Royal Oak ,https://www.beaumont.org/patients-families/billing/pricing
110,Winthrop University Hospital ,https://www.nyuwinthrop.org/standard-charges
111,Yale New Haven Hospital ,https://www.ynhh.org/patients-visitors/billing-insurance/pricing.aspx
