,description,charge
43,ACETAMINOPHEN 650MG SUPP,3
44,ACETAMINOPHEN 80MG CHEW TAB,0
45,ACETAMINOPHEN ASSAY,374
46,ACETAMINOPHEN ELIX 640MG/20ML,14
47,ACETAMINOPHEN SUPP 80MG,5
48,"ACETAMINOPHEN SUPP, 650MG",164
49,"ACETAMINOPHEN SUSP, 160MG/5ML",9
50,"ACETAMINOPHEN,@ 10MG,INJ (1000MG)",2
51,ACETAZOLAMIDE 500MG CAP SEQUEL,24
52,ACETAZOLAMIDE SOD@ 500MG INJ(500),282
53,"ACETAZOLAMIDE TAB, 250MG",24
54,"ACETIC ACID IRRIG.SOL,0.25%-500ML",28
55,ACETIC ACID OTIC SOLN 15ML,227
56,"ACETYCHOLINE INTRAOCULAR, 1%",582
57,ACETYLCHOLINE RECEPTOR AB,853
58,"ACETYLCYSTEINE SOLN, 20% (10ML)",83
59,"ACETYLCYSTEINE SOLN, 20% (4ML)",85
60,"ACETYLCYSTEINE SOLN,10%(30ML)",65
61,"ACETYLCYSTEINE,@100MG,INJ(6000MG)",21
62,ACETYLCYSTINE SOL 20% D5W 100ML,24
63,ACID PHOS (PROSTATIC),180
64,ACL GRAFT KNIFE 10MM 232110,"1,019"
65,ACL GRAFT KNIVE 9MM 232109,"1,019"
66,ACTH,905
67,ACTIVATED CLOTTING TIME,170
68,ACTIVATED PROTEIN C RESIS,327
69,ACTIVE WOUND CARE > 20 CM,735
70,ACTIVE WOUND CARE/20 CM OR <,"1,248"
71,ACULAR OPHTH SOLN 0.5%,780
72,ACUPUNCTURE-W/O STIM-1ST 15 MIN,50
73,ACUTE HEPATITIS PANEL,"1,114"
74,ACYCLOVIR @ 5MG INJ (500MG/10ML),1
75,ACYCLOVIR @ 5MG INJ(1000MG/20ML),1
76,ACYCLOVIR @ 5MG INJ(50MG-PED SYR),0
77,ACYCLOVIR @ 5MG INJ(5MG-NICU SYR),1
78,ACYCLOVIR 5% OINT 15GM,"4,519"
79,"ACYCLOVIR CAP, 200MG",7
80,"ACYCLOVIR CRM 5%, (5 GM)","4,557"
81,ACYCLOVIR SUSP 200MG/5ML,27
82,"ACYCLOVIR TAB, 800MG",21
83,ADAPER OFFSET TRIATH 2MM 55705020,"6,418"
84,ADAPT STEM OSS 1CM 150494,"27,404"
85,ADAPT TRAY HUMER EQUINOXE 3201000,"8,976"
86,ADAPTER APEX PIN HOFFMAN 49331020,"1,458"
87,ADAPTER OFFSET 4MM,"6,418"
88,ADAPTER SMR STD+4 133015274,"2,045"
89,ADAPTER STAGE1 HIP NECK 431186,"1,432"
90,ADAPTER TUOHY BORST G18813,163
91,ADAPTOR FEMORAL 5,"8,554"
92,ADAPTOR TAPER HUM HEAD 118001,"1,148"
93,"ADENOSINE,PER 1 MG, INJ (12MG)",6
94,"ADENOSINE,PER 1 MG, INJ (60 MG)",10
95,"ADENOSINE,PER 1 MG, INJ (6MG)",7
96,ADENOVIRUS,302
97,ADHESIVE SKIN MASTISOL 2OZ 052306,157
98,ADL/LIFE SKILLS OCCUPATIONAL THER,255
99,ADMINISTRATION OF FLU VACCINE,68
100,ADMINISTRATION-HEP.B VACCINE,102
101,ADMINISTRATION-PNEUMONIA VACCINE,102
102,ADRENAL ANTIBODY,283
103,AEQUALIS REVERSED,"9,180"
104,AEQUALIS REVERSED 3MM,"8,494"
105,AEROBIC ISOLATE ID,189
106,AEROSOL TRMT/INITIAL EVAL,340
107,AEROSOLIZED TREATMENT SUBSEQUENT,209
108,AFB SMEAR ONLY,125
109,"AGGRENOX CAPSULE, 25MG-200MG",47
110,"ALBENDAZOLE TAB, 200 MG",763
111,"ALBUMIN 25%, PER 50ML, INJ(100ML)",564
112,"ALBUMIN 5%, PER 250ML, INJ(500ML)",354
113,"ALBUMIN INJ, 25% (50ML)",564
114,"ALBUMIN INJ, 5% (250ML)",637
115,"ALBUMIN INJ, 5% (50ML)",167
116,"ALBUMIN, SERUM",116
117,ALBUTEROL 2MG/5ML SYRUP,4
118,"ALBUTEROL CFC FREE INHALER,90MCG/",386
119,"ALBUTEROL HFA INHALER, 18 GM",365
120,"ALBUTEROL NEB SOLN, 0.083% (3ML)",2
121,"ALBUTEROL NEB SOLN, 0.5% (20ML)",1
122,"ALBUTEROL NEB SOLN,0.021%(3ML)PED",6
123,"ALBUTEROL NEB SOLN,0.042%(3ML)PED",7
124,"ALBUTEROL NEB SOLN,0.5%(0.5ML)",1
125,"ALBUTEROL SULFATE INHALER, 18GM",132
126,ALBUTEROL SULFATE PER MG,15
127,"ALCHOL SOL, 70% (480ML)",12
128,"ALCOHOL,BLOOD-ETHANOL ASSAY",252
129,ALDACTAZINE ORAL SUSP,3
130,ALDOLASE SERUM,226
131,ALDOSTERONE PLASMA,959
132,ALEXIS EXTRACTION SYSTEM GTG17,"4,816"
133,ALEXIS ORTHO PROTECT SM/MED HR004,847
134,"ALISKIREN TAB, 150MG",41
135,ALKALINE PHOS BONE ISO 29498,545
136,ALKALINE PHOSPHAT ISOENZ,344
137,ALKALINE PHOSPHATASE,122
138,"ALLERGY TESTING,PERC/DERM,# TESTS",100
139,ALLOGRAFT ACHILL TENDW/BLCK453042,"11,676"
140,ALLOGRAFT BIOADAPT DBM BRIDGE24CC,"8,173"
141,ALLOGRAFT BIOREADY DBM5CC DS00105,"3,503"
142,ALLOGRAFT BONE PATELLA10MM 443002,"21,490"
143,ALLOGRAFT BONEPAT TEND9/10 443012,"20,141"
144,ALLOGRAFT BREASTFLEXHD11X20SF2000,"30,836"
145,ALLOGRAFT BREASTFLEXHD13X22SF3000,"33,483"
146,ALLOGRAFT BREASTFLEXHD13X22SF3300,"30,636"
147,ALLOGRAFT BRST KIT 9X15 SF1000,"19,017"
148,ALLOGRAFT CANC PLUG 11 FCPD11,"2,611"
149,ALLOGRAFT FEM HEMICOND LFT FCA80,"67,843"
150,ALLOGRAFT FEMORAL CORT STRUT 25CM,"14,960"
151,ALLOGRAFT FIBULA SHAFT 10 CM,"4,782"
152,ALLOGRAFT FLEXIGRAFT FROZ FGL,"13,830"
153,ALLOGRAFT GRAFIXCORE5X5CM PS12055,"15,967"
154,ALLOGRAFT ILIUM 60MM 450910,"18,476"
155,ALLOGRAFT ILLUM 2.2CMX55MM 400520,"15,636"
156,ALLOGRAFT LATERAL MENISCUS,"34,990"
157,ALLOGRAFT MENISCUS LFT FMNLL,"26,884"
158,ALLOGRAFT PATELTENDON11/11 443005,"20,141"
159,ALLOGRAFT POST TIB 220MM 443016,"15,179"
160,ALLOGRAFT REV CORE 14MM 400134,"6,867"
161,ALLOGRAFT REV CORE10MM 400130,"6,526"
162,ALLOGRAFT STRAVIX 2X4CM PS60005,"9,428"
163,ALLOGRAFT STRAVIX 3X6CM PS60008,"14,974"
164,ALLOGRAFT TALUS LFT 32647002,"37,947"
165,ALLOGRAFT TEND VERSAGRAFT VRG001,"7,531"
166,ALLOGRAFT TENDON3-10MMX26 430350,"8,845"
167,ALLOGRAFT TISJUVCARTIL00560600011,"25,595"
168,ALLOGRAFT TRINITY ELITE 410002,"17,689"
169,ALLOGRAFT WEDG25-30MM ILIAC450914,"9,097"
170,ALLOGRAFT WEDGE8MM ILIAC CR450913,"5,494"
171,ALLOGRAFT WEDGE9MM ILIAC CR450912,"5,882"
172,ALLOGRFT GRAFIXPRIME2X3CM PS11023,"6,101"
173,ALLOGRFT GRAFIXPRIME3X4CM PS11034,"7,487"
174,ALLOGRFT GRAFIXPRIME5X5CM PS11055,"15,973"
175,ALLOGRFT PUROS CANC PART1CC 68211,800
176,"ALLOPURINOL TAB, 100MG",2
177,ALLOWRAP DS 2X2 CM 31022002,"6,120"
178,"ALLUPURINOL TAB, 300 MG",4
179,ALPHA FETOPROTEIN SERUM,391
180,ALPHA I ANTITRYPSIN,316
181,ALPHA/ANTITRYPSIN PHENOTY,337
182,ALPHAGAN P 0.15%,738
183,ALPRAZOLAM 0.25MG TAB,0
184,ALPRAZOLAM 0.5MG TAB,4
185,"ALPROSTADIL PED INJ, 500MCG/ML",2
186,ALS I NON-EMERGENCY TRANSPORT,"1,538"
187,ALS LEVEL 1 ASSESSMENT ONLY,"3,432"
188,ALS LEVEL 1 EMERGENCY TRANSPORT,"3,432"
189,ALS LEVEL 2,"3,820"
190,"ALTAZANAVIR CAP, 150MG",157
191,"ALTAZANAVIR CAP, 200MG",157
192,"ALTEPLASE, PER 1 MG, INJ (1MG/ML)",266
193,"ALTEPLASE, PER 1 MG, INJ (2MG)",491
194,"ALTEPLASE, PER 1 MG,INJ (100 DIL)",560
195,"ALUM HYDROXIDE SUSP, 320 MG/5ML",27
196,ALUM. AMMONIUM PWD.,255
197,ALUMINUM,590
198,AMANTADINE 100MG CAP,12
199,"AMANTADINE SYRUP, 50MG/5ML",8
200,AMBULANCE SERVICE(BLS)TRANSPORT,943
201,AMIKACIN SULF@100MG INF(500MG-PB),17
202,AMIKACIN SULF@100MG INF(5MG-NICU),6
203,"AMILORIDE TAB, 5 MG",7
204,"AMINO ACID 5% / DEX 15%, 2000 ML",453
205,"AMINO ACID 5% / DEX 20%, 2000 ML",567
206,"AMINO ACID INJ, 10% (PEDIATRIC)",21
207,"AMINO ACID INJ, 15% (NOVAMINE)",85
208,AMINO ACID QUANT ON CSF,"1,179"
209,AMINO ACID QUANTIT ON URI,401
210,AMINOCAPROIC ACID 500MG TAB,140
211,"AMINOCAPROIC ACID INJ, 5G/20ML",15
212,AMINOPHYLLIN @ 250MG INJ (250MG),23
213,AMIODARENE,249
214,AMIODARONE 200MG TAB,3
215,AMIODARONE HCL @ 30 MG INJ (150),5
216,AMIODARONE HCL @ 30 MG INJ (450),2
217,AMIODARONE HCL @ 30 MG INJ (900),4
218,AMIPICILLIN @500MG INJ(VIAL125MG),118
219,AMIPICILLIN @500MG INJ(VIAL250MG),45
220,AMIPICILLIN @500MG INJ(VIAL500MG),25
221,AMITRIPTYLINE ASSAY,417
222,AMITRIPTYLINE HCL TAB 50MG,4
223,"AMITRIPTYLINE HCL TAB, 10MG",1
224,"AMITRIPTYLINE HCL TAB, 25MG",2
225,"AMLODIPINE BESYLATE TAB, 2.5MG",9
226,"AMLODIPINE BESYLATE TAB, 5MG",9
227,"AMLODIPINE TAB, 10MG",1
228,AMMONIA PLASMA,342
229,"AMMONIA SPIRIT, ARROMTIC INH",2
230,AMNIOCENTESIS,989
231,AMOXICILLIN & K CLAVANATE,28
232,AMOXICILLIN 250MG CAP,1
233,"AMOXICILLIN CAP, 500MG",2
234,AMOXICILLIN SUSP 125MG/5ML (UD),2
235,"AMOXICILLIN SUSP, 250MG/5ML (UD)",2
236,"AMOXICILLIN SUSP, 400 MG/5ML",3
237,AMPHOTERICIN B@50MG INJ(50MGVIAL),258
238,AMPICILLIN @500MG INJ (1G ADD),24
239,AMPICILLIN @500MG INJ (1G VIAL),25
240,AMPICILLIN @500MG INJ (2G ADD),24
241,AMPICILLIN @500MG INJ (2G VIAL),23
242,"AMPICILLIN CAP, 250MG",1
243,"AMPICILLIN CAP, 500MG",2
244,"AMPICILLIN SUSP,250MG/5ML (UD)",4
245,AMYLASE SERUM,170
246,ANA,313
247,ANA QUANTITATION,261
248,ANAEROBIC ISOLATE ID,190
249,ANBESOL LIQUID (9ML),27
250,ANCH SUT HEALIX BR 5.5 3SUT222298,"1,860"
251,ANCH SUTSWVLCK5.5X19.1MMAR2323BCC,"2,290"
252,ANCHOR CANC HTO 28MM AR1340128,"1,506"
253,ANCHOR CANC IBAL HTO26MMAR1340126,"1,507"
254,ANCHOR CANCELL HTO 30MM AR1340130,"1,507"
255,ANCHOR CANCELL HTO 32MM AR1340132,"1,507"
256,ANCHOR CORKSCREW 5.5 AR1927BCT,"2,033"
257,ANCHOR CORT HTO 32MM AR1340230,"1,506"
258,ANCHOR CORT HTO 38MM AR1340238,"1,507"
259,ANCHOR CORT HTO 44MM AR1340244,"1,507"
260,ANCHOR GRYPHON PEEK 3.0 223147,"2,678"
261,ANCHOR KNOTLESS TITAN MITEK212029,"1,913"
262,ANCHOR MINI SUT #0 ORTHO 212038,"2,391"
263,ANCHOR PEG SHOULDERGLENOID SZ52MM,"9,040"
264,ANCHOR QCKANCHR2MMW2ORTHCRD212035,"1,891"
265,ANCHOR QFIX SUR 1.8 251800,"2,189"
266,ANCHOR QFIX SUT 2.8 252800,"2,189"
267,ANCHOR SUT 4.75X19.1 AR2324PSLC,"1,927"
268,ANCHOR SUT BIO4.75X19.1 AR2324BCC,"2,290"
269,ANCHOR SUT BIOC 6.25X19.1AR1662BC,"2,048"
270,ANCHOR SUT FIBERTAK DBLLD AR36022,"2,160"
271,ANCHOR SUT FOOTPRINT 4.5 72202901,"2,074"
272,ANCHOR SUT FOOTPRINT 4.5 72203783,"2,481"
273,ANCHOR SUT HEALICOIL 4.5 72203378,"2,210"
274,ANCHOR SUT HEALICOIL 5.5 72203380,"2,299"
275,ANCHOR SUT HEALICOIL 5.5 72203983,"2,189"
276,ANCHOR SUT HEALICOIL 5.5 72203984,"2,189"
277,ANCHOR SUT HEALIX 5.5 222331,"2,105"
278,ANCHOR SUT MENS DARTSHEALTHAR3007,536
279,ANCHOR SUT MULTIFIX 5.5 72290001,"2,189"
280,ANCHOR SUT PEEK 2.9X12.5 AR2923PS,"1,985"
281,ANCHOR SUT PEEK 4.75 AR2324PCT,"2,481"
282,ANCHOR SUT PEEK 5.5 72203379,"2,014"
283,ANCHOR SUT PEEK 5.5X20 AR2323PSL,"2,145"
284,ANCHOR SUT PEEK 7X19.5 AR1662PSL7,"2,317"
285,ANCHOR SUT PEEK5.5X19.1AR2323PSLC,"1,927"
286,ANCHOR SUT RELOAD AR7203,132
287,ANCHOR SUT SWIVLCK8X19.5AR1662BC8,"2,440"
288,ANCHOR SUTURE 2.4X6.5 AR1320BCNF,"1,859"
289,ANCHOR SUTURE 2.9X12.5 AR2923BC,"2,288"
290,ANCHOR SUTURE 3X14MM AR1934BCF2,"1,927"
291,ANCHOR SUTURE BIORAP 72201541,"1,643"
292,ANCHOR SUTURE FASTIN#2 222720,"2,163"
293,ANCHOR SUTURE FOOTPNT5.5 72202902,"1,722"
294,ANCHOR SUTURE GII SZ2 222983,"1,860"
295,ANCHOR SUTURE HEALIX 6.5MM 222301,"1,860"
296,ANCHOR SUTURE HEALIX BR4.5 222296,"1,860"
297,ANCHOR SUTURE PEEK4.75 AR2324PCTT,"2,481"
298,ANCHOR SUTURE TIGER STICK AR7209T,276
299,ANCHOR SUTUREFIX 1.7MM 72203852,"1,894"
300,ANCHOR SUTUREFIX 1.9MM 72203854,"1,925"
301,ANDROSTENEDIONE,691
302,"ANELGESICS,NON-OPIOID,1-2 ASSAY",642
303,ANESTHESIA ENDO,"3,116"
304,ANESTHESIA EPIDURAL/SPINAL/OB,"3,525"
305,ANESTHESIA OR,"7,287"
306,"ANG,EXTREMY, BILAT,S&I","5,322"
307,"ANG,PEL,SEL/SUB-SEL S","4,603"
308,"ANG,PUL,UNI,SELCT, S&","3,222"
309,"ANG,VISC,SEL/SUB SEL","8,072"
310,ANGIO CONV ENZYME,343
311,ANGIO EXT UNI S&I,"4,867"
312,"ANGIOGRAPHY,SPINAL SELECTIVE","5,373"
313,ANKLE 2 VIEWS,577
314,ANKLE 3+ VIEWS,649
315,ANNULOTOMY KNIVE 158703,"1,662"
316,ANTENNA INTERSTIM EXTERNAL,519
317,ANTEPARTUM MANIPULATION (VERSION),"3,426"
318,ANTHOLOGY OFFSET STD SZ 7,"13,153"
319,ANTHOLOGY SZ 10 STD HA,"13,153"
320,ANTHOLOGY SZ 11,"13,153"
321,ANTHOLOGY SZ 12 STD ST (71357012),"13,153"
322,ANTI DNA DOUBLE STRAND,451
323,ANTI DNA SINGLE STRAND,284
324,ANTI DNASE B TITER,311
325,ANTI GLIADIN ANTIBODIES,283
326,ANTI HEPATITIS B CORE IGM,278
327,ANTI JO-1 (POLYMYOSITIS),419
328,ANTI MITOCHONDRIAL,282
329,ANTI RNA,419
330,ANTI SCLERODERMA,419
331,"ANTIBODY ELUTION, RBC",288
332,"ANTIBODY ID, RBC, EACH",556
333,"ANTIBODY, INFLUENZA VIRUS",317
334,"ANTIBODY, WEST NILE VIRUS",208
335,"ANTIBODY, WEST NILE VIRUS, IGM",244
336,"ANTIBODY,CMV,IGM",399
337,"ANTIBODY,HIV-1",208
338,ANTICARDIOLIPIN ANTIBODY,601
339,ANTICOAG.PRACTICE-PHARM.VISIT PT,128
340,ANTIDIURETIC HORMONE,809
341,ANTI-ENDOMYSIAL ANTIBODIE,283
342,ANTIGLORMERULAR BASE MEM,302
343,ANTIHISTONE ANTIBODIES,257
344,ANTIMYOCARDIAL,283
345,ANTINEUTROPHIL ANTIBODY,283
346,ANTINUCLEAR ANTIB ON BD F,313
347,ANTIOXIDANT MULTIVIT W/MINERAL PE,2
348,ANTIPANCREAT ISLE CELL AB,419
349,ANTIPARIETAL ANTIBODY,283
350,ANTIPLATELET ANTIBODY,434
351,ANTISMITH AB,282
352,ANTI-STREP TITER,172
353,ANTITHROMBIN III,279
354,ANTITHROMBIN III ANTIGEN,256
355,ANTITHYROGLOBULIN ANTIBOD,370
356,ANUSOL SUPP,2
357,"AORT, THOR, BY SER S&I","3,067"
358,"AORTOGRAM, AORTOFEM",362
359,APEX PIN BOLT 3-6 49331022,729
360,APH-DIAGNOSTIC INTERVIEW W/ OTHER,491
361,APH-DIAGNOSTIC INTERVIEW-DR/APN,700
362,APH-EDUCATION AND TRAINING,566
363,APHERESIS RED BLOOD CELLS,"2,907"
364,APH-FAMILY PSYCHOTHER.W/ PAT.,500
365,APH-GROUP PSYCHOTHERAPY,500
366,APH-MED.MANAGEMENT-DETAIL/MODER.,255
367,APH-MED.MANAGEMENT-EXPAND/LOW,196
368,APH-PATIENT PSYCHOTHER.-45 MIN.,650
369,"APIXIBAN TAB, 2.5 MG",47
370,"APIXIBAN TAB, 5 MG",44
371,APNEA TEST,154
372,APOLIPOPROTEIN EACH,360
373,APPL LOWER LEG SPLINT,301
374,APPL OF FINGER SPLINT,301
375,APPL OF FOREARM CAST,730
376,APPLICATION COLD PACKS,77
377,APPLICATION HOT PACKS,77
378,APPLICATION OF PASTE BOOT,525
379,APPLICATION OF PASTE BOOT BILATER,788
380,APPLICATOR ENDOSCOPIC FOR SURG,281
381,APPLICATOR FUSE CEMENT 985002,"1,156"
382,APPLIER CLIP LIGAMAX 5,"1,071"
383,APPLY FOREARM SPLINT,301
384,APPLY FOREARM SPLINT-DYNAMIC,267
385,APPLY LONG ARM SPLINT,301
386,APPLY MULTLAY COMPRS LWR LEG,"1,017"
387,"APPLY ON-BODY INJECTOR,TIMED INJ.",495
388,APPLY RIGID LEG CAST,"1,177"
389,APPLY SHORT LEG CAST,505
390,"AQUAPHOR OINT, 1.75G",24
391,"AQUASOL A INJ 100,000U/2ML","7,852"
392,ARCH FOOT 155MM 49346155,"6,072"
393,"ARGATROBAN,NON-ESRD,PER 1 MG (50)",32
394,"ARGATROBAN,NON-ESRD,PER 1MG (250)",12
395,ARGININE INFUSION 10% 300ML,238
396,"ARIPIPRAZOLE ORAL SOLN, 1MG/ML (1",44
397,"ARIPIPRAZOLE TAB, 10MG",182
398,"ARIPIPRAZOLE TAB, 15MG",174
399,"ARIPIPRAZOLE TAB, 2MG",175
400,"ARIPIPRAZOLE TAB, 5MG",170
401,ARISTA 1GR HEMOSTAT SM0005USA,497
402,ARISTA 3GR HEMOSTAT SM002USA,989
403,"ARSENIC, URINE",447
404,"ART,ABD,TRAN, BY SER, S","3,361"
405,ARTERIAL PUNCTURE,116
406,ARTERIOGRAM EXTREMITY BIL-S & I,"5,322"
407,ARTERIOGRAM EXTREMITY UNIL-S & I,"4,949"
408,ARTHROFLEX 2MM DECELLDERM AFLEX20,"21,647"
409,ARTHROFLEX 3MM 40X70 AFLEX301,"22,704"
410,ARTHROFLEX1.5 35X35DERMISAFLEX100,"12,287"
411,ARTHROGRAPHY SHOULDER CMP,801
412,ARTICULAR SURFACE SZ 5-6 12MM,"5,117"
413,ARTICULAR SURFACE SZ E F 10MM,"5,117"
414,ARTIFICIAL TEARS OPHTH SOLN 15ML,29
415,ASCA ANTIBODIES/FUNGUS (NES),289
416,ASCORBIC ACID 250MG TAB,0
417,ASCORBIC ACID 500MG TAB,0
418,ASCORBIC ACID 500MG/5ML SYR 12,1
419,ASCORBIC ACID INJ 500 MG/ML 1ML,12
420,ASPIRATE PLEURA W/IMAGING,"2,063"
421,ASPIRATE PLEURA W/O IMAGING,"1,300"
422,"ASPIRATION, HIP KNEE SHOULDER",542
423,ASPIRIN 300MG SUPP,8
424,ASPIRIN 325MG E.C. TAB,0
425,"ASPIRIN SUPP, 600MG",9
426,"ASPIRIN TAB CHEW, 81MG",1
427,"ASPIRIN TAB EC, 325MG",0
428,"ASPIRIN TAB EC, 81MG",0
429,"ASPIRIN,BUFFERED 325MG TAB",0
430,ASSAY OF FETAL FIBRONECTIN,"1,533"
431,ASSAY OF LIPOPROTEIN(A),94
432,ASSAY OF NOS VITAMIN,402
433,ASSAY OF URINE SULFATE,122
434,ASSAY TEST FOR BLOOD FECAL,179
435,"ASSAY, NEPHELOMETRY EACH ANALYTE",315
436,"ASSAY, PH, BODY FLUID, NOS",57
437,ASSEMBLY 1MM BF PIRANHA,"2,561"
438,ASSEMBLY FEM LEG HK SZ3 71421373,"51,031"
439,ASSEMBLY FEM LEG HK SZ5 71421375,"51,031"
440,"ASSESS CYST, CONTRAST INJECT",264
441,ATENOLOL TAB 50MG,5
442,"ATENOLOL TAB, 25MG",5
443,"ATOMEXETINE CAP, 25MG",82
444,"ATOMOXETINE CAP, 10MG",39
445,"ATOMOXETINE CAP, 40MG",89
446,"ATORVASTATIN TAB, 10MG",3
447,"ATORVASTATIN TAB, 20MG",3
448,"ATORVASTATIN TAB, 40MG",4
449,ATOVAQUONE SUSP 750MG/5ML,215
450,"ATOVAQUONE SUSP, 750 MG/5 ML",205
451,ATRICLIP 40MM PRO140,"15,617"
452,ATROPINE 0.4MG/ML INJ 1ML,1
453,"ATROPINE INJ, 1MG/ML (1ML)",0
454,ATROPINE OPTH SOLN 1% 1ML,174
455,"ATROPINE SYRN, 0.1MG/ML (10ML)",0
456,AUG AEQ GLENOID SZMED DWK404RA25S,"17,000"
457,AUG AEQ GLENOID SZMED DWK404RA35S,"17,000"
458,AUG AEQ PERF GLEN MED DWK404LA35S,"17,000"
459,AUG AEQ PERFORM GLEN DWK405RA15S,"17,000"
460,AUG AEQ PERFORMLRGLFT DWK405LA25S,"17,000"
461,AUG AEQ PERFORMSM LFT DWK403LA25S,"17,000"
462,AUG AEQPERFORMGLENLRG DWK405LA35S,"17,000"
463,AUG CORTILOCGLEN LRGRTDWK405RA25S,"17,000"
464,AUG FEM ATTUNE REV SZ3 154703001,"7,064"
465,AUG FEM ATTUNE REV SZ5 154705001,"7,064"
466,AUG FEM ATTUNE REV SZ5 154905001,"7,064"
467,AUG FEM ATTUNE REV SZ6 154706001,"7,064"
468,AUG FEM ATTUNE REV SZ6 154706002,"7,064"
469,AUG FEM ATTUNE REV SZ7 154707002,"7,064"
470,AUG FEM ATTUNE REVSZ4 4 154904001,"5,394"
471,AUG FEM ATTUNE REVSZ5 8 154705002,"5,394"
472,AUG FEM ATTUNE SZ4 4MM154704001,"7,064"
473,AUG FEM ATTUNE SZ4 8MM 154704002,"7,064"
474,AUG FEM ATTUNE SZ6 REV 154906001,"7,064"
475,AUG FEM ATTUNE SZ7 4 154707001,"7,064"
476,AUG FEM ATTUNE SZ7 REV 154907001,"7,064"
477,AUG FEM ATTUNEREV SZ8 4 154908001,"7,064"
478,AUG FEM ATTUNEREV SZ8 8 154708002,"7,064"
479,AUG FEM ATTUNEREVSZ4 12 154704003,"5,394"
480,AUG FEM ATTUNEREVSZ5 12 154705003,"5,394"
481,AUG FEM ATUNEREV SZ4 8 154708001,"7,064"
482,AUG FEM CONE TRIATH SZA 5549A110,"19,265"
483,AUG FEM CONE TRIATH SZB 5549A120,"19,265"
484,AUG FEM CONE TRIATH SZC 5549A130,"19,265"
485,AUG FEM CONE TRIATH SZD 5549A140,"19,265"
486,AUG FEM CONETRIATH SZ7/8 5549A371,"19,265"
487,AUG FEM OSS SZ SM 151853,"15,634"
488,AUG FEM TRIATH SZ1 5MM 5540-A-101,"6,698"
489,AUG FEM TRIATH SZ1 5MM 5543A100,"6,495"
490,AUG FEM TRIATH SZ2 15 5542A201,"6,557"
491,AUG FEM TRIATH SZ3 10MM5544A300,"6,495"
492,AUG FEM TRIATH SZ3 5MM 5543A300,"6,377"
493,AUG GLENOID AEQ SM RT DWK403RA15S,"17,000"
494,AUG TIB ATTUNE 5MM 152303001,"8,027"
495,AUG TIB ATTUNE REV 10MM 152303102,"8,027"
496,AUG TIB CONE TRIATH SZB 5549A221,"19,265"
497,AUG TIB CONE TRIATH SZD 5549A241,"19,265"
498,AUG TIB CONE TRIATH SZD 5549A242,"19,265"
499,AUG TIB TRIATH SZ1 5545A102,"4,947"
500,AUG TIB TRIATH SZ1 5546A101,"5,221"
501,AUG TIB TRIATH SZ1 RT 5546A102,"3,313"
502,AUG TIB TRIATH SZ5 5MM HF BLK LFT,"5,662"
503,AUGMENT BONE GRAFT 3CC K20003010,"20,433"
504,AUGMENT DISTAL 5MM WITH SCREW SZ,"5,894"
505,AUGMENT DISTAL FEM#3 10MM5541A302,"6,698"
506,AUGMENT DISTAL LEFT FEM 5541A201,"6,698"
507,AUGMENT DISTAL LEFT FEMORAL,"6,377"
